item_id,order_id,product_id,quantity,unit_price,discount_percent
I000001,O00001,P0403,3,55611.03,2.95
I000002,O00002,P0185,1,32852.36,10.01
I000003,O00003,P0129,3,44763.64,23.05
I000004,O00003,P0433,3,11600.42,18.12
I000005,O00003,P0071,5,54760.48,0.26
I000006,O00004,P0145,3,47031.07,12.11
I000007,O00004,P0208,5,45516.8,0.36
I000008,O00004,P0335,5,59358.62,28.54
I000009,O00005,P0117,2,43455.49,6.3
I000010,O00005,P0120,5,35302.82,16.58
I000011,O00005,P0240,4,20571.44,2.58
I000012,O00005,P0434,2,25841.82,28.26
I000013,O00006,P0108,4,27108.32,16.75
I000014,O00006,P0192,2,34735.01,3.85
I000015,O00006,P0483,1,30088.05,19.77
I000016,O00006,P0182,3,13684.34,12.77
I000017,O00007,P0391,5,18118.31,17.61
I000018,O00007,P0291,-1,55344.22,4.61
I000019,O00007,P0488,3,34177.81,23.97
I000020,O00007,P0468,5,34517.95,11.73
I000021,O00008,P0105,4,4009.81,11.59
I000022,O00008,P0244,-1,19864.71,28.86
I000023,O00008,P0328,3,5775.84,3.13
I000024,O00008,P0284,2,2117.14,20.67
I000025,O00009,P0014,2,12100.12,27.34
I000026,O00009,P0198,3,12512.36,8.73
I000027,O00009,P0269,-1,27388.89,11.06
I000028,O00009,P0006,2,19740.97,27.29
I000029,O00010,P0081,1,7922.43,12.55
I000030,O00010,P0381,1,23461.78,27.11
I000031,O00010,P0106,2,52252.85,9.29
I000032,O00010,P0419,4,9695.12,17.25
I000033,O00011,P0301,2,30248.01,20.55
I000034,O00011,P0142,2,645.11,4.28
I000035,O00011,P0033,4,36369.95,7.41
I000036,O00012,P0467,5,52778.52,13.81
I000037,O00012,P0295,1,44289.98,8.64
I000038,O00012,P0452,4,20937.55,25.28
I000039,O00013,P0201,5,49441.09,25.5
I000040,O00013,P0213,2,10938.77,18.53
I000041,O00013,P0222,4,23202.97,19.77
I000042,O00014,P0202,1,14533.78,26.12
I000043,O00015,P0452,5,17655.0,27.49
I000044,O00015,P0358,2,54542.44,12.34
I000045,O00015,P0391,5,7449.59,11.06
I000046,O00016,P0259,3,24723.74,4.95
I000047,O00017,P0260,1,27837.62,2.2
I000048,O00017,P0356,4,22993.1,22.38
I000049,O00018,P0204,1,842.09,3.44
I000050,O00018,P0470,2,19761.2,22.46
I000051,O00019,P0237,1,5136.41,19.71
I000052,O00019,P0366,4,8587.29,24.61
I000053,O00019,P0431,2,10401.23,0.54
I000054,O00019,P0052,2,17789.85,16.04
I000055,O00020,P0087,-1,40349.25,0.34
I000056,O00020,P0140,2,26551.35,5.34
I000057,O00020,P0366,1,53582.72,15.97
I000058,O00020,P0227,1,50222.77,24.35
I000059,O00021,P0200,3,26750.4,17.95
I000060,O00022,P0396,4,46073.43,27.86
I000061,O00023,P0466,-2,12159.14,0.48
I000062,O00023,P0015,1,20359.58,5.76
I000063,O00023,P0343,1,13389.96,26.47
I000064,O00024,P0371,2,2831.95,15.38
I000065,O00024,P0418,3,19496.24,18.8
I000066,O00025,P0479,5,23824.82,12.84
I000067,O00025,P0119,2,6531.94,9.7
I000068,O00026,P0206,3,916.49,6.38
I000069,O00027,P0034,3,39066.71,11.07
I000070,O00027,P0035,2,24783.59,23.03
I000071,O00028,P0053,5,47517.33,27.67
I000072,O00028,P0292,-2,15266.02,2.84
I000073,O00028,P0167,4,40738.45,29.17
I000074,O00028,P0356,2,20056.38,19.06
I000075,O00029,P0436,4,4237.31,0.53
I000076,O00029,P0467,5,27044.91,15.33
I000077,O00029,P0380,2,30304.52,21.14
I000078,O00030,P0120,1,37057.65,26.9
I000079,O00031,P0122,4,45483.3,18.59
I000080,O00031,P0031,2,22596.51,8.9
I000081,O00031,P0078,-4,12422.24,1.14
I000082,O00032,P0379,3,8229.17,9.53
I000083,O00032,P0403,1,31348.2,29.33
I000084,O00032,P0332,3,45082.94,6.87
I000085,O00032,P0376,3,20695.16,6.17
I000086,O00033,P0465,2,48126.82,20.89
I000087,O00034,P0312,4,31384.02,5.51
I000088,O00034,P0323,1,4064.09,14.75
I000089,O00035,P0027,2,56308.82,3.77
I000090,O00035,P0089,5,33021.06,23.86
I000091,O00036,P0121,5,4874.24,21.75
I000092,O00036,P0160,2,43356.09,7.35
I000093,O00037,P0311,2,18325.42,17.29
I000094,O00037,P0496,2,16457.27,23.44
I000095,O00038,P0487,3,24015.02,5.03
I000096,O00039,P0217,5,36641.77,13.0
I000097,O00039,P0080,4,1384.7,11.44
I000098,O00039,P0438,1,45579.73,27.65
I000099,O00039,P0305,5,9337.36,21.8
I000100,O00040,P0195,4,18489.67,8.5
I000101,O00040,P0288,5,28954.49,10.0
I000102,O00040,P0367,4,11903.8,27.48
I000103,O00041,P0007,5,43876.04,11.23
I000104,O00042,P0474,4,56429.04,29.11
I000105,O00042,P0192,4,29475.16,19.23
I000106,O00042,P0302,1,24645.5,1.16
I000107,O00042,P0472,1,23212.6,16.97
I000108,O00043,P0391,4,57434.39,23.14
I000109,O00043,P0385,3,30674.58,14.66
I000110,O00044,P0357,1,39124.2,27.8
I000111,O00044,P0377,2,14692.7,1.04
I000112,O00044,P0417,3,37930.97,20.29
