order_id,customer_id,order_date,status,region_code
O00001,C0108,2025-02-23 02:55:26,DELIVERED,SOUTH
O00002,C0276,2026-04-25 10:04:26,CANCELLED,WEST
O00003,C0079,2025-04-30 06:34:26,PLACED,EAST
O00004,C0028,2025-03-25 08:55:26,SHIPPED,EAST
O00005,C0117,2025-04-29 01:43:26,RETURNED,WEST
O00006,C0208,2026-03-19 21:31:26,DELIVERED,NORTH
O00007,C0274,2026-03-21 03:58:26,PLACED,NORTH
O00008,C0038,2025-04-03 05:45:26,DELIVERED,NORTH
O00009,C0311,2025-12-09 04:10:26,PLACED,WEST
O00010,C0339,2026-03-12 19:43:26,PLACED,SOUTH
O00011,C0201,2025-09-28 11:38:26,DELIVERED,EAST
O00012,C0455,2025-07-12 16:34:26,RETURNED,EAST
O00013,C0285,2025-02-27 00:46:26,SHIPPED,NORTH
O00014,C0202,2025-02-21 01:29:26,DELIVERED,NORTH
O00015,C0380,2025-12-24 13:38:26,RETURNED,EAST
O00016,C0331,2025-09-19 20:48:26,CANCELLED,SOUTH
O00017,C0316,2025-07-29 12:05:26,CANCELLED,SOUTH
O00018,C0410,2025-06-12 12:33:26,DELIVERED,NORTH
O00019,C0038,2026-06-03 03:26:26,DELIVERED,NORTH
O00020,C0372,2025-10-29 10:03:26,DELIVERED,EAST
O00021,C0336,2026-02-15 11:33:26,SHIPPED,EAST
O00022,C0249,2025-04-27 13:11:26,DELIVERED,EAST
O00023,C0187,2025-07-22 01:27:26,CANCELLED,WEST
O00024,C0127,2025-08-06 07:11:26,DELIVERED,WEST
O00025,C0348,2025-11-25 17:59:26,DELIVERED,WEST
O00026,C0397,2026-06-03 21:13:26,DELIVERED,NORTH
O00027,C0042,2025-08-14 03:29:26,CANCELLED,SOUTH
O00028,C0454,2025-09-04 15:37:26,DELIVERED,NORTH
O00029,C0016,2025-03-06 23:31:26,CANCELLED,WEST
O00030,C0134,2025-09-20 08:26:26,DELIVERED,WEST
O00031,C0115,2025-07-17 18:16:26,CANCELLED,EAST
O00032,C0262,2025-07-02 21:23:26,PLACED,EAST
O00033,C0123,2026-07-14 07:33:26,CANCELLED,SOUTH
O00034,C0082,2026-07-26 11:19:26,SHIPPED,SOUTH
O00035,C0113,2026-06-25 17:53:26,DELIVERED,SOUTH
O00036,C0120,2025-04-20 15:14:26,PLACED,SOUTH
O00037,C0241,2026-07-30 18:15:26,RETURNED,NORTH
O00038,UNKNOWN_CUSTOMER,2025-03-28 03:11:26,DELIVERED,EAST
O00039,C0292,2025-11-12 01:25:26,SHIPPED,WEST
O00040,C0460,2026-02-25 01:32:26,CANCELLED,EAST
O00041,C0208,2026-03-07 14:24:26,DELIVERED,EAST
O00042,C0310,2026-06-28 22:47:26,PLACED,SOUTH
O00043,C0040,2026-05-11 12:05:26,DELIVERED,EAST
O00044,C0081,2025-09-19 11:02:26,DELIVERED,NORTH
O00045,C0170,2025-10-08 20:42:26,DELIVERED,WEST
O00046,C0303,2026-06-20 22:04:26,SHIPPED,WEST
O00047,C0066,2025-03-09 13:53:26,DELIVERED,SOUTH
O00048,C0021,2025-07-03 03:23:26,CANCELLED,SOUTH
O00049,C0473,2025-04-13 12:07:26,SHIPPED,WEST
O00050,C0339,2025-03-07 06:37:26,CANCELLED,NORTH
O00051,C0242,2025-09-24 21:29:26,CANCELLED,SOUTH
O00052,C0074,2025-09-27 20:29:26,DELIVERED,SOUTH
