product_id,product_name,category,subcategory,cost_price
P0001,Portable Shirt 1,Electronics,Mobiles,11277.06
P0002,Premium Book 2,Electronics,Accessories,21182.8
P0003,Wireless Shirt 3,Electronics,Mobiles,25341.96
P0004,Wireless Mouse 4,Electronics,Accessories,32546.74
P0005,Ultra Book 5,Books,Fiction,14017.81
P0006,Modern Shoes 6,Electronics,Mobiles,14001.89
P0007,Premium Headphones 7,Clothing,Women,19089.38
P0008,Portable Phone 8,Home,Furniture,36527.13
P0009,Premium Chair 9,Electronics,Laptops,14764.94
P0010,Wireless Mouse 10,Home,Decor,3617.32
P0011,Premium Shirt 11,Clothing,Women,43344.21
P0012,Ultra Keyboard 12,Books,Education,41730.4
P0013,Essential Shirt 13,Clothing,Women,33558.23
P0014,Classic Chair 14,Electronics,Accessories,36496.97
P0015,Modern Jacket 15,Clothing,Women,49477.74
P0016,Essential Phone 16,Clothing,Kids,11568.05
P0017,Modern Jacket 17,Electronics,Laptops,3449.5
P0018,Ultra Mixer 18,Home,Kitchen,44251.46
P0019,Portable Laptop 19,Books,Fiction,12444.38
P0020,Modern Book 20,Home,Decor,20060.12
P0021,Ultra Headphones 21,Clothing,Men,37825.74
P0022,Classic Keyboard 22,Electronics,Mobiles,21194.67
P0023,Modern Book 23,Electronics,Laptops,49806.65
P0024,Smart Keyboard 24,Home,Decor,36077.98
P0025,Essential Headphones 25,Home,Decor,14780.98
P0026,Smart Mouse 26,Clothing,Women,43811.27
P0027,Classic Chair 27,Home,Decor,45644.5
P0028,Wireless Laptop 28,Home,Decor,18789.61
P0029,Smart Book 29,Clothing,Kids,16309.18
P0030,Essential Jacket 30,Electronics,Mobiles,12086.7
P0031,Premium Headphones 31,Clothing,Kids,36635.59
P0032,Classic Laptop 32,Electronics,Accessories,33038.58
P0033,Modern Shirt 33,Clothing,Women,46456.34
P0034,Portable Mixer 34,Clothing,Kids,49758.2
P0035,Ultra Headphones 35,Home,Furniture,12508.09
P0036,Smart Book 36,Electronics,Laptops,27762.99
P0037,Premium Mouse 37,Clothing,Men,31610.48
P0038,Smart Shoes 38,Clothing,Men,3682.24
P0039,Ultra Shirt 39,Clothing,Women,27030.81
P0040,Ultra Mixer 40,Books,Fiction,9641.93
P0041,Modern Shoes 41,Electronics,Accessories,21265.39
P0042,Smart Keyboard 42,Books,Comics,32724.76
P0043,Modern Mouse 43,Electronics,Mobiles,17064.23
P0044,Wireless Shirt 44,Electronics,Mobiles,26883.84
P0045,Classic Jacket 45,Clothing,Women,23212.01
P0046,Premium Phone 46,Electronics,Laptops,32659.42
P0047,Wireless Laptop 47,Electronics,Mobiles,20409.74
P0048,Modern Phone 48,Books,Fiction,8357.16
P0049,Portable Lamp 49,Electronics,Laptops,14369.67
P0050,Wireless Jacket 50,Books,Fiction,11002.39
P0051,Smart Mouse 51,Electronics,Accessories,15783.2
P0052,Ultra Chair 52,Electronics,Accessories,45981.45
P0053,Premium Laptop 53,Clothing,Men,3565.79
P0054,Wireless Mixer 54,Electronics,Accessories,6126.35
P0055,Smart Book 55,Clothing,Kids,4236.87
P0056,Wireless Keyboard 56,Home,Furniture,35852.16
P0057,Modern Laptop 57,Clothing,Women,33633.76
P0058,Essential Headphones 58,Home,Furniture,614.38
P0059,Wireless Chair 59,Electronics,Mobiles,13370.24
P0060,Wireless Shoes 60,Home,Kitchen,14356.62
P0061,Portable Book 61,Books,Comics,49195.09
P0062,Portable Keyboard 62,Electronics,Accessories,5313.79
P0063,Premium Headphones 63,Clothing,Women,37159.47
P0064,Portable Book 64,Clothing,Women,10649.89
P0065,Portable Chair 65,Home,Kitchen,24503.31
P0066,Modern Jacket 66,Electronics,Mobiles,2347.73
P0067,Portable Laptop 67,Home,Kitchen,37100.36
P0068,Smart Headphones 68,Books,Comics,3900.91
P0069,Smart Shoes 69,Clothing,Kids,29188.1
P0070,Classic Phone 70,Clothing,Women,15516.68
P0071,Wireless Keyboard 71,Electronics,Laptops,12589.06
P0072,Modern Book 72,Electronics,Laptops,37511.46
P0073,Classic Mixer 73,Clothing,Men,1385.6
P0074,Wireless Jacket 74,Home,Furniture,8086.01
P0075,Smart Lamp 75,Electronics,Laptops,11238.32
P0076,Portable Shirt 76,Books,Education,11262.74
P0077,Essential Jacket 77,Clothing,Women,43237.99
P0078,Modern Keyboard 78,Home,Furniture,49060.31
P0079,Premium Jacket 79,Home,Kitchen,9051.61
P0080,Premium Book 80,Home,Kitchen,21813.0
P0081,Premium Mixer 81,Home,Furniture,44990.31
P0082,Smart Mouse 82,Clothing,Women,21887.47
P0083,Modern Headphones 83,Clothing,Women,47451.39
P0084,Essential Keyboard 84,Home,Decor,42423.56
P0085,Portable Keyboard 85,Home,Decor,20508.39
P0086,Portable Chair 86,Books,Comics,6495.3
P0087,Modern Keyboard 87,Books,Comics,37444.51
P0088,Portable Mixer 88,Clothing,Kids,27464.67
P0089,Portable Shirt 89,Electronics,Laptops,21579.92
P0090,Ultra Lamp 90,Home,Furniture,33830.02
P0091,Classic Keyboard 91,Books,Comics,4377.06
P0092,Wireless Keyboard 92,Home,Kitchen,15624.41
P0093,Smart Phone 93,Clothing,Men,12355.4
P0094,Premium Lamp 94,Books,Comics,20809.88
P0095,Modern Lamp 95,Clothing,Kids,20072.7
P0096,Smart Headphones 96,Clothing,Kids,38954.26
P0097,Ultra Phone 97,Clothing,Men,27936.68
P0098,Classic Lamp 98,Electronics,Laptops,33428.75
P0099,Modern Chair 99,Home,Furniture,22378.79
P0100,Ultra Lamp 100,Clothing,Kids,13070.7
P0101,Portable Chair 101,Clothing,Kids,24307.16
P0102,Ultra Headphones 102,Clothing,Women,35720.21
P0103,Essential Shoes 103,Clothing,Women,44667.39
